artifact_id,title,short_label,location,image_filename,period,material,base_context
1,"Ancient Clay Lamp","Clay oil lamp with single nozzle","Room 2 – Near Eastern Gallery","lamp_ancient.jpg","1st–2nd century CE","Terracotta","This small clay oil lamp was used in daily life for domestic lighting. It comes from a Roman-era household in the Eastern Mediterranean and reflects common motifs of the time."
2,"Bronze Helmet","Bronze war helmet from Greek hoplite","Room 5 – Armour Collection","helmet_bronze.jpg","5th century BCE","Bronze","This bronze helmet belonged to a Greek infantry soldier (hoplite). It shows battle wear and was found near an ancient battlefield. It illustrates protective technology and craftsmanship of Classical Greece."
3,"Torah Crown","Decorative silver Torah crown","Room 8 – Judaica","torah_crown.jpg","18th century","Silver","A Torah crown used to adorn the Torah scroll in synagogues. It is richly decorated with floral motifs and small bells, representing honour and reverence for the sacred text."
4,"Mona Lisa","Portrait of a woman with enigmatic smile","Room 12 – Italian Renaissance","mona_lisa.jpg","c. 1503–1506","Oil on poplar panel","Leonardo da Vinci’s most famous portrait, believed to depict Lisa Gherardini of Florence. The painting is celebrated for its subtle sfumato technique, atmospheric background, and the sitter’s ambiguous expression that has intrigued viewers for centuries."
5,"The Last Supper","Christ’s final meal with the apostles","Room 13 – Italian Renaissance","last_supper.jpg","c. 1495–1498","Tempera and oil on plaster","Leonardo da Vinci’s monumental wall painting showing Jesus announcing that one disciple will betray him. The work is renowned for its dramatic composition, use of perspective, and the expressive reactions of each apostle at the table."
6,"Napoleon Crossing the Alps","Heroic portrait of Napoleon on horseback","Room 21 – French Neoclassicism","napoleon_alps.jpg","1801–1805","Oil on canvas","Painted by Jacques-Louis David, this work presents Napoleon as a calm, commanding leader astride a rearing horse, allegedly crossing the Great St. Bernard Pass. It is a powerful piece of political propaganda that emphasizes courage, control, and destiny."
7,"The Starry Night","Swirling night sky over a village","Room 18 – Post-Impressionism","starry_night.jpg","1889","Oil on canvas","Vincent van Gogh’s iconic nocturne painted while he was in an asylum at Saint-Rémy. The swirling stars, exaggerated crescent moon, and dramatic sky express the artist’s emotional and spiritual turmoil as much as the landscape itself."
8,"Girl with a Pearl Earring","Young woman in turban with large earring","Room 10 – Dutch Golden Age","girl_pearl_earring.jpg","c. 1665","Oil on canvas","Johannes Vermeer’s intimate tronie of a young woman turned toward the viewer. The luminous pearl, soft lighting, and deep blue and yellow turban create a striking sense of immediacy, earning it the nickname “the Mona Lisa of the North.”"
9,"The Night Watch","Militia company preparing to move out","Room 11 – Dutch Golden Age","night_watch.jpg","1642","Oil on canvas","Rembrandt’s large group portrait of Captain Frans Banning Cocq and his civic militia. Dynamic lighting, dramatic poses, and deep shadows turn what could have been a static line-up into a lively scene of movement and tension."
10,"The Persistence of Memory","Melting clocks in a desolate landscape","Room 25 – Surrealism","persistence_memory.jpg","1931","Oil on canvas","Salvador Dalí’s dreamlike painting where soft, drooping clocks lie over strange organic forms and a barren seashore. The work explores the fluidity of time and the subconscious, becoming a key symbol of Surrealism."
11,"The Birth of Venus","Goddess Venus emerging from the sea","Room 9 – Early Renaissance","birth_venus.jpg","c. 1484–1486","Tempera on canvas","Sandro Botticelli’s mythological scene shows Venus standing on a shell, blown ashore by winds as nymphs wait to receive her. The painting combines classical themes with graceful, linear figures and delicate pastel colours."
12,"Guernica","Distorted figures in a war-torn interior","Room 28 – Modern Art","guernica.jpg","1937","Oil on canvas","Pablo Picasso’s monumental anti-war painting created in response to the bombing of the town of Guernica during the Spanish Civil War. Fragmented figures, screaming horses, and stark black-and-white tones convey chaos, suffering, and protest."
13,"American Gothic","Farmer and daughter standing with pitchfork","Room 22 – American Art","american_gothic.jpg","1930","Oil on beaverboard","Grant Wood’s famous double portrait of a stern farmer and a woman in front of a Carpenter Gothic farmhouse. Often read as a symbol of Midwestern resilience, it has also been widely parodied in popular culture."
14,"The School of Athens","Gathering of ancient philosophers","Room 14 – High Renaissance","school_athens.jpg","c. 1509–1511","Fresco","Raphael’s grand fresco depicting Plato, Aristotle, and other ancient thinkers in a vast architectural space. The painting celebrates philosophy and rational inquiry, using perspective and carefully arranged groups to guide the viewer’s eye."
15,"The Kiss","Couple embracing in golden robes","Room 24 – Vienna Secession","the_kiss.jpg","1907–1908","Oil and gold leaf on canvas","Gustav Klimt’s intimate scene of two lovers wrapped in intricate golden patterns. The sparkling surface, stylized forms, and decorative motifs make it a hallmark of fin-de-siècle Viennese art."

